Neighborhood,Total Population,Total Households,Population in Households,Household Size,Population in Group Quarters,Family Households,Non-Family Households,Families with Children,Percent of All Households: Families with Children,0--4,5--9,10--14,15--17,18--19,20--24,25--34,35--44,45--54,55--59,60--64,65--74,75--84,85 Plus,Population,Total units,Occupied units,Vacant units,Percent owner occupied,Person per acre,Acres,Zip Code,Population below poverty level,Median household income,"Non-White, Non-Hispanic or Latino","Hispanic or Latino, of any race",Population with disability,Unemployment,Large households (5+ members),"Homes affordable to people earning less than $50,000","Rentals affordable to people earning less than $25,000",Rent-restricted units,Housing Choice Voucher holders,Median rent,Median home value,Percentage of rental units in poor condition,"Percent change in number of housing units, 2000-2012",Owner units affordable to average retail/service worker,Rental units affordable to average retail/service worker,Rental units affordable to average artist,Owner units affordable to average artist,Rental units affordable to average teacher,Owner units affordable to average teacher,Rental units affordable to average tech worker,Owner units affordable to average tech worker,"Change in percentage of population below poverty, 2000-2012","Change in median rent, 2000-2012","Change in median home value, 2000-2012",Percentage of homes within 1/4-mi of transit stop,Average monthly transportation cost,Percentage of housing and transportation costs that is transportation-related,Majority Age,Neighborhood Size,House Size,Family Percentage,Percent Vacant,Vacancy,Income,Rent,Home Value,Transit Closeness,Transit Cost,Rent Increase,Home Value Increase,Density
GATEWAY,1121,748,1121,1.5,0,168,580,52,7.0,4.2,1.6,0.3,0.5,0.5,14.1,48.9,15.1,6.6,3.8,2.5,1.0,0.4,0.4,1121,815,748,67,0.0,2.3,484.7,78759,7.0,65672.0,18.0,11.0,8.0,7.0,2.0,13.0,3.0,1.0,0.0,962.0,307800.0,0.2,1.0,2.0,2.0,18.0,3.0,75.0,13.0,99.0,45.0,60.0,7.0,60.0,28.0,629.0,40.0,25-34,748,1.5,7.0,8.220858895705522,8.220858895705522,65672.0,962.0,307800.0,28.0,629.0,7.0,60.0,2.3
GEORGIA ACRES,8559,3128,8557,2.7,2,1783,1345,1111,35.5,11.8,8.3,6.0,3.2,2.9,11.1,20.9,14.6,11.0,3.8,2.6,2.4,1.2,0.3,8559,3763,3128,635,14.8,12.7,676.2,78753,26.0,39593.0,20.0,60.0,10.0,9.0,16.0,78.0,14.0,17.0,4.0,826.0,134900.0,0.7,19.0,8.0,11.0,40.0,24.0,89.0,75.0,100.0,98.0,128.0,26.0,40.0,59.0,708.0,44.0,25-34,3128,2.7,35.5,16.87483390911507,16.87483390911507,39593.0,826.0,134900.0,59.0,708.0,26.0,40.0,12.7
GOVALLE,4006,1385,3913,2.8,93,837,548,334,24.1,6.6,5.7,5.5,4.1,2.5,6.8,17.0,13.6,12.6,5.2,5.3,8.2,5.1,1.7,4006,1523,1385,138,57.8,4.0,1004.8,78702,33.0,34734.0,18.0,56.0,14.0,11.0,10.0,21.0,41.0,39.0,2.0,766.0,175400.0,2.2,15.0,0.0,39.0,51.0,2.0,80.0,15.0,99.0,67.0,3.0,73.0,207.0,96.0,590.0,39.0,60+,1385,2.8,24.1,9.061063690085359,9.061063690085359,34734.0,766.0,175400.0,96.0,590.0,73.0,207.0,4.0
GRACY WOODS,28220,12659,28021,2.2,199,6564,6095,2977,23.5,7.3,5.4,4.3,2.6,2.1,8.9,24.6,14.8,13.2,5.9,3.9,3.9,2.0,1.1,28220,13330,12659,671,44.2,6.4,4412.6,78758,24.0,41792.0,22.0,46.0,9.0,10.0,10.0,71.0,11.0,9.0,2.0,898.0,144200.0,0.8,4.0,13.0,8.0,32.0,23.0,83.0,69.0,99.0,99.0,128.0,20.0,49.0,75.0,668.0,40.0,25-34,12659,2.2,23.5,5.033758439609903,5.033758439609903,41792.0,898.0,144200.0,75.0,668.0,20.0,49.0,6.4
HANCOCK,4662,2466,4628,1.9,34,552,1914,194,7.9,2.4,2.2,1.4,1.0,2.7,38.3,25.9,8.4,7.1,3.6,2.7,2.9,1.1,0.5,4662,2710,2466,244,23.9,8.6,540.2,78751,26.0,38624.0,11.0,14.0,6.0,9.0,2.0,11.0,13.0,1.0,0.0,865.0,292200.0,0.4,7.0,0.0,9.0,38.0,2.0,68.0,10.0,97.0,42.0,23.0,38.0,97.0,98.0,550.0,40.0,18-24,2466,1.9,7.9,9.00369003690037,9.00369003690037,38624.0,865.0,292200.0,98.0,550.0,38.0,97.0,8.6
HARRIS BRANCH,3432,1136,3432,3.0,0,889,247,477,42.0,9.9,8.1,6.9,3.8,1.7,5.0,19.3,16.8,14.8,5.2,3.6,3.1,1.6,0.3,3432,1192,1136,56,89.1,1.5,2294.6,78754,11.0,53274.0,36.0,32.0,8.0,9.0,7.0,70.0,4.0,9.0,5.0,969.0,167600.0,0.2,132.0,1.0,1.0,22.0,4.0,74.0,59.0,100.0,100.0,286.0,33.0,33.0,19.0,708.0,41.0,45-59,1136,3.0,42.0,4.697986577181208,4.697986577181208,53274.0,969.0,167600.0,19.0,708.0,33.0,33.0,1.5
HAYS WARTHA,2,1,2,2.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1,100.0,0.0,1796.3,78756,9.0,59685.0,8.0,9.0,12.0,4.0,2.0,20.0,17.0,6.0,0.0,888.0,342300.0,0.6,8.0,2.0,13.0,34.0,3.0,76.0,19.0,99.0,37.0,-20.0,47.0,99.0,90.0,550.0,40.0,45-59,1,2.0,0.0,50.0,50.0,59685.0,888.0,342300.0,90.0,550.0,47.0,99.0,0.0
HERITAGE HILLS,5853,1938,5850,3.0,3,1280,658,821,42.4,12.6,10.8,6.4,3.2,2.1,10.7,21.2,12.4,8.7,3.7,2.9,3.4,1.2,0.5,5853,2186,1938,248,34.8,6.8,864.8,78753,26.0,39593.0,20.0,60.0,10.0,9.0,16.0,78.0,14.0,17.0,4.0,826.0,134900.0,0.7,19.0,8.0,11.0,40.0,24.0,89.0,75.0,100.0,98.0,128.0,26.0,40.0,59.0,708.0,44.0,25-34,1938,3.0,42.4,11.344922232387923,11.344922232387923,39593.0,826.0,134900.0,59.0,708.0,26.0,40.0,6.8
HIGHLAND,4225,1910,4225,2.2,0,873,1037,347,18.2,6.3,4.4,3.9,2.1,2.0,8.6,22.9,18.6,13.1,6.2,3.7,4.2,3.2,0.8,4225,2091,1910,181,47.7,5.1,832.4,78752,32.0,33271.0,19.0,57.0,11.0,9.0,8.0,43.0,20.0,7.0,2.0,752.0,153000.0,0.8,15.0,5.0,14.0,55.0,8.0,92.0,39.0,100.0,86.0,8.0,17.0,71.0,80.0,629.0,37.0,25-34,1910,2.2,18.2,8.656145384983262,8.656145384983262,33271.0,752.0,153000.0,80.0,629.0,17.0,71.0,5.1
HIGHLAND PARK,3907,1647,3889,2.4,18,1123,524,477,29.0,5.4,6.8,7.1,3.5,1.3,2.7,7.9,14.7,16.7,10.0,7.6,8.5,4.9,2.9,3907,1741,1647,94,89.6,2.0,1935.4,78731,9.0,78265.0,12.0,9.0,8.0,4.0,2.0,13.0,4.0,0.0,0.0,1016.0,436800.0,0.5,8.0,0.0,2.0,24.0,2.0,67.0,12.0,97.0,26.0,26.0,31.0,68.0,44.0,747.0,32.0,45-59,1647,2.4,29.0,5.399195864445721,5.399195864445721,78265.0,1016.0,436800.0,44.0,747.0,31.0,68.0,2.0
HOLLY,3987,1506,3965,2.6,22,841,665,381,25.3,7.8,6.8,6.3,3.7,2.4,8.0,20.6,15.7,10.4,4.7,3.8,4.7,3.4,1.7,3987,1645,1506,139,50.1,8.7,459.7,78702,33.0,34734.0,18.0,56.0,14.0,11.0,10.0,21.0,41.0,39.0,2.0,766.0,175400.0,2.2,15.0,0.0,39.0,51.0,2.0,80.0,15.0,99.0,67.0,3.0,73.0,207.0,96.0,590.0,39.0,25-34,1506,2.6,25.3,8.44984802431611,8.44984802431611,34734.0,766.0,175400.0,96.0,590.0,73.0,207.0,8.7
HYDE PARK,5894,3387,5859,1.7,35,808,2579,333,9.8,3.7,3.0,1.8,1.1,2.0,25.0,29.6,12.9,9.2,4.6,2.8,2.5,0.9,0.8,5894,3594,3387,207,26.3,12.7,465.1,78751,26.0,38624.0,11.0,14.0,6.0,9.0,2.0,11.0,13.0,1.0,0.0,865.0,292200.0,0.4,7.0,0.0,9.0,38.0,2.0,68.0,10.0,97.0,42.0,23.0,38.0,97.0,98.0,550.0,40.0,25-34,3387,1.7,9.8,5.759599332220367,5.759599332220367,38624.0,865.0,292200.0,98.0,550.0,38.0,97.0,12.7
JESTER,4974,2329,4974,2.1,0,1298,1031,573,24.6,5.3,5.2,6.2,3.5,1.3,5.4,16.3,16.1,18.1,7.9,5.8,5.5,2.8,0.5,4974,2549,2329,220,57.5,1.3,3795.1,78750,7.0,75958.0,16.0,16.0,9.0,6.0,6.0,19.0,2.0,0.0,0.0,1012.0,303100.0,0.3,32.0,4.0,1.0,15.0,5.0,70.0,15.0,99.0,51.0,104.0,20.0,64.0,21.0,747.0,33.0,45-59,2329,2.1,24.6,8.630835621812476,8.630835621812476,75958.0,1012.0,303100.0,21.0,747.0,20.0,64.0,1.3
JOHNSTON TERRACE,1854,599,1854,3.1,0,381,218,193,32.2,9.8,9.1,7.7,3.6,3.5,6.2,18.9,15.0,11.1,3.5,3.9,4.9,2.4,0.5,1854,654,599,55,60.1,2.9,640.3,78721,32.0,32131.0,36.0,52.0,17.0,16.0,14.0,61.0,26.0,47.0,10.0,870.0,121000.0,2.0,35.0,12.0,25.0,39.0,22.0,84.0,57.0,100.0,95.0,36.0,62.0,113.0,87.0,668.0,40.0,25-34,599,3.1,32.2,8.409785932721713,8.409785932721713,32131.0,870.0,121000.0,87.0,668.0,62.0,113.0,2.9
JOLLYVILLE,19103,9067,19086,2.1,17,4824,4243,2163,23.9,5.5,5.5,5.7,3.0,1.3,6.1,18.0,16.9,16.2,7.0,5.3,5.4,2.7,1.4,19103,9539,9067,472,49.3,5.2,3702.5,78729,8.0,57358.0,22.0,17.0,7.0,7.0,7.0,26.0,3.0,0.0,0.0,1008.0,192300.0,0.1,28.0,0.0,2.0,17.0,1.0,73.0,22.0,100.0,96.0,116.0,12.0,43.0,13.0,747.0,37.0,45-59,9067,2.1,23.9,4.948107768109865,4.948107768109865,57358.0,1008.0,192300.0,13.0,747.0,12.0,43.0,5.2
LBJ,2624,794,2624,3.3,0,612,182,335,42.2,9.8,9.5,10.2,5.8,3.4,8.0,15.4,12.3,10.7,4.7,3.6,4.3,1.8,0.6,2624,841,794,47,39.7,1.6,1632.5,78724,38.0,35711.0,29.0,63.0,8.0,8.0,28.0,85.0,16.0,38.0,20.0,962.0,105700.0,1.5,48.0,28.0,15.0,22.0,42.0,78.0,84.0,100.0,96.0,208.0,37.0,46.0,21.0,786.0,40.0,25-34,794,3.3,42.2,5.58858501783591,5.58858501783591,35711.0,962.0,105700.0,21.0,786.0,37.0,46.0,1.6
MCNIEL,23322,11764,23160,2.0,162,5277,6487,2252,19.1,5.6,4.4,4.2,2.4,1.6,8.3,26.5,15.5,13.6,6.1,4.5,4.3,2.0,1.0,23322,12426,11764,662,39.5,5.4,4319.3,78729,8.0,57358.0,22.0,17.0,7.0,7.0,7.0,26.0,3.0,0.0,0.0,1008.0,192300.0,0.1,28.0,0.0,2.0,17.0,1.0,73.0,22.0,100.0,96.0,116.0,12.0,43.0,13.0,747.0,37.0,25-34,11764,2.0,19.1,5.327539031063899,5.327539031063899,57358.0,1008.0,192300.0,13.0,747.0,12.0,43.0,5.4
MLK,4917,1742,4863,2.8,54,1045,697,529,30.4,9.4,8.3,7.5,4.1,2.6,8.4,17.8,12.8,11.9,4.7,3.1,4.7,3.3,1.3,4917,2021,1742,279,42.0,5.0,992.5,78721,32.0,32131.0,36.0,52.0,17.0,16.0,14.0,61.0,26.0,47.0,10.0,870.0,121000.0,2.0,35.0,12.0,25.0,39.0,22.0,84.0,57.0,100.0,95.0,36.0,62.0,113.0,87.0,668.0,40.0,25-34,1742,2.8,30.4,13.805047006432458,13.805047006432458,32131.0,870.0,121000.0,87.0,668.0,62.0,113.0,5.0
MLK-183,7675,2529,7585,3.0,90,1656,873,750,29.7,8.3,8.1,7.6,4.2,2.9,7.2,16.1,12.9,11.9,4.8,4.4,6.0,4.3,1.4,7675,2772,2529,243,54.7,3.4,2246.1,78721,32.0,32131.0,36.0,52.0,17.0,16.0,14.0,61.0,26.0,47.0,10.0,870.0,121000.0,2.0,35.0,12.0,25.0,39.0,22.0,84.0,57.0,100.0,95.0,36.0,62.0,113.0,87.0,668.0,40.0,45-59,2529,3.0,29.7,8.766233766233766,8.766233766233766,32131.0,870.0,121000.0,87.0,668.0,62.0,113.0,3.4
MONTOPOLIS,10638,3152,10539,3.3,99,2312,840,1288,40.9,11.5,10.0,8.0,4.2,3.4,8.9,18.5,13.1,9.7,3.7,2.7,3.6,2.1,0.5,10638,3357,3152,205,46.8,7.4,1446.3,78741,40.0,30183.0,16.0,62.0,9.0,9.0,10.0,76.0,15.0,21.0,3.0,835.0,120200.0,0.6,18.0,28.0,11.0,40.0,39.0,86.0,76.0,100.0,93.0,45.0,28.0,58.0,80.0,668.0,43.0,25-34,3152,3.3,40.9,6.1066428358653555,6.1066428358653555,30183.0,835.0,120200.0,80.0,668.0,28.0,58.0,7.4
MUELLER,2070,936,2070,2.2,0,463,473,237,25.3,10.8,5.6,3.0,1.1,1.3,10.6,31.0,19.4,8.9,3.4,2.5,1.9,0.4,0.1,2070,1120,936,184,60.3,2.8,726.6,78722,19.0,44917.0,18.0,19.0,11.0,8.0,3.0,7.0,11.0,12.0,1.0,930.0,265100.0,0.9,6.0,0.0,8.0,31.0,1.0,65.0,6.0,97.0,37.0,8.0,40.0,127.0,98.0,590.0,33.0,25-34,936,2.2,25.3,16.428571428571427,16.428571428571427,44917.0,930.0,265100.0,98.0,590.0,40.0,127.0,2.8
NACA,28604,9578,28532,3.0,72,6213,3365,3627,37.9,11.2,8.8,6.5,3.6,3.0,9.6,21.3,14.5,10.1,3.6,2.6,2.9,1.7,0.4,28604,10732,9578,1154,29.3,14.6,1953.7,78758,24.0,41792.0,22.0,46.0,9.0,10.0,10.0,71.0,11.0,9.0,2.0,898.0,144200.0,0.8,4.0,13.0,8.0,32.0,23.0,83.0,69.0,99.0,99.0,128.0,20.0,49.0,75.0,668.0,40.0,25-34,9578,3.0,37.9,10.752888557584793,10.752888557584793,41792.0,898.0,144200.0,75.0,668.0,20.0,49.0,14.6
NORTH BURNET,4472,2554,4471,1.8,1,777,1777,364,14.3,5.9,4.2,2.0,1.2,4.0,16.7,39.8,14.0,6.7,2.2,2.1,1.2,0.2,0.0,4472,3018,2554,464,1.2,2.1,2088.1,78758,24.0,41792.0,22.0,46.0,9.0,10.0,10.0,71.0,11.0,9.0,2.0,898.0,144200.0,0.8,4.0,13.0,8.0,32.0,23.0,83.0,69.0,99.0,99.0,128.0,20.0,49.0,75.0,668.0,40.0,25-34,2554,1.8,14.3,15.374420145791914,15.374420145791914,41792.0,898.0,144200.0,75.0,668.0,20.0,49.0,2.1
NORTH LAMAR,6478,1948,6464,3.3,14,1371,577,857,44.0,11.7,9.0,7.3,4.3,3.2,9.4,20.7,14.4,11.1,3.5,2.3,2.0,0.7,0.3,6478,2180,1948,232,26.7,10.3,627.8,78753,26.0,39593.0,20.0,60.0,10.0,9.0,16.0,78.0,14.0,17.0,4.0,826.0,134900.0,0.7,19.0,8.0,11.0,40.0,24.0,89.0,75.0,100.0,98.0,128.0,26.0,40.0,59.0,708.0,44.0,25-34,1948,3.3,44.0,10.642201834862385,10.642201834862385,39593.0,826.0,134900.0,59.0,708.0,26.0,40.0,10.3
NORTH LOOP,5072,2506,5045,2.0,27,725,1781,288,11.5,4.5,2.6,2.1,1.3,2.0,24.4,29.1,15.0,8.8,3.4,2.5,2.1,1.4,0.8,5072,2758,2506,252,27.9,8.2,618.6,78751,26.0,38624.0,11.0,14.0,6.0,9.0,2.0,11.0,13.0,1.0,0.0,865.0,292200.0,0.4,7.0,0.0,9.0,38.0,2.0,68.0,10.0,97.0,42.0,23.0,38.0,97.0,98.0,550.0,40.0,25-34,2506,2.0,11.5,9.137055837563452,9.137055837563452,38624.0,865.0,292200.0,98.0,550.0,38.0,97.0,8.2
NORTH SHOAL CREEK,3471,1948,3467,1.8,4,736,1212,283,14.5,5.8,3.7,2.4,1.5,1.0,6.6,24.9,15.0,12.7,5.9,5.9,7.3,5.7,1.6,3471,2139,1948,191,44.1,5.3,655.9,78757,16.0,55156.0,5.0,25.0,10.0,6.0,5.0,21.0,8.0,4.0,1.0,895.0,253300.0,0.7,10.0,2.0,6.0,32.0,8.0,75.0,21.0,100.0,56.0,103.0,24.0,93.0,79.0,590.0,36.0,25-34,1948,1.8,14.5,8.92940626460963,8.92940626460963,55156.0,895.0,253300.0,79.0,590.0,24.0,93.0,5.3
NORTH UNIVERSITY,4791,2484,4295,1.7,496,326,2158,92,3.7,1.5,1.2,0.6,0.4,9.7,47.9,23.6,6.0,3.4,2.0,1.9,1.3,0.2,0.2,4791,2684,2484,200,13.0,20.3,235.9,78705,66.0,11917.0,21.0,17.0,4.0,14.0,2.0,39.0,8.0,1.0,0.0,1088.0,292500.0,0.3,2.0,1.0,6.0,23.0,10.0,57.0,38.0,94.0,79.0,49.0,70.0,40.0,100.0,511.0,30.0,18-24,2484,1.7,3.7,7.451564828614009,7.451564828614009,11917.0,1088.0,292500.0,100.0,511.0,70.0,40.0,20.3
NORTHWEST HILLS,11090,6037,11084,1.8,6,2391,3646,906,15.0,4.3,4.2,3.6,1.8,1.8,14.1,24.5,12.0,10.7,5.7,4.8,6.0,4.6,2.1,11090,6479,6037,442,39.1,7.8,1427.1,78759,7.0,65672.0,18.0,11.0,8.0,7.0,2.0,13.0,3.0,1.0,0.0,962.0,307800.0,0.2,1.0,2.0,2.0,18.0,3.0,75.0,13.0,99.0,45.0,60.0,7.0,60.0,28.0,629.0,40.0,25-34,6037,1.8,15.0,6.82204043833925,6.82204043833925,65672.0,962.0,307800.0,28.0,629.0,7.0,60.0,7.8
OLD ENFIELD,1170,584,1168,2.0,2,247,337,106,18.2,5.6,3.6,5.0,2.3,0.5,7.7,21.5,16.8,14.4,5.0,6.2,7.4,2.1,2.1,1170,634,584,50,54.8,5.6,209.9,78703,10.0,92606.0,9.0,9.0,6.0,4.0,4.0,3.0,11.0,0.0,0.0,1183.0,621900.0,0.4,1.0,0.0,8.0,25.0,0.0,51.0,2.0,92.0,13.0,7.0,65.0,104.0,67.0,629.0,25.0,25-34,584,2.0,18.2,7.886435331230284,7.886435331230284,92606.0,1183.0,621900.0,67.0,629.0,65.0,104.0,5.6
OLD WEST AUSTIN,4225,2603,4220,1.6,5,681,1922,227,8.7,3.0,2.6,1.9,1.0,1.1,10.8,35.6,15.8,11.7,5.3,5.4,4.0,1.1,0.7,4225,2915,2603,312,30.3,6.9,611.9,78703,10.0,92606.0,9.0,9.0,6.0,4.0,4.0,3.0,11.0,0.0,0.0,1183.0,621900.0,0.4,1.0,0.0,8.0,25.0,0.0,51.0,2.0,92.0,13.0,7.0,65.0,104.0,67.0,629.0,25.0,25-34,2603,1.6,8.7,10.703259005145798,10.703259005145798,92606.0,1183.0,621900.0,67.0,629.0,65.0,104.0,6.9
PARKER LANE,9581,4396,9560,2.2,21,1751,2645,951,21.6,9.2,6.0,4.4,2.5,3.0,15.9,25.7,13.6,9.8,3.7,2.4,2.1,1.2,0.4,9581,4867,4396,471,16.0,8.4,1133.9,78741,40.0,30183.0,16.0,62.0,9.0,9.0,10.0,76.0,15.0,21.0,3.0,835.0,120200.0,0.6,18.0,28.0,11.0,40.0,39.0,86.0,76.0,100.0,93.0,45.0,28.0,58.0,80.0,668.0,43.0,25-34,4396,2.2,21.6,9.67741935483871,9.67741935483871,30183.0,835.0,120200.0,80.0,668.0,28.0,58.0,8.4
PECAN SPRINGS--SPINGDALE,4832,1693,4719,2.8,113,1130,563,467,27.6,8.5,7.4,6.3,3.7,2.2,7.6,17.0,13.5,11.7,5.3,4.8,6.6,3.6,1.7,4832,1978,1693,285,58.2,4.9,985.5,78723,29.0,41869.0,27.0,46.0,10.0,10.0,13.0,33.0,22.0,20.0,7.0,817.0,176500.0,1.3,13.0,1.0,18.0,44.0,4.0,82.0,28.0,99.0,83.0,49.0,28.0,107.0,84.0,668.0,43.0,25-34,1693,2.8,27.6,14.408493427704752,14.408493427704752,41869.0,817.0,176500.0,84.0,668.0,28.0,107.0,4.9
